nth slice...,-1,-6,-3,-10,-2,3,-5,-4,-7,2,5,4,7,6,9,8,1,-9,-8,10
"(6, [0, 2, 7, 15])",,,,,,,,,,,,,,,,1,,,,
"(-4, [0, 15, 20, 24])",,,,,,,,,,,,,,1,1,,,,,
"(2, [0, 6, 10, 15])",,,,,,,,,,1,1,,,,,,,,1,
"(-1, [0, 10, 16, 19])",,,,,,,1,1,,,,,,,,,,,1,
"(-9, [0, 7, 16, 19])",,,,1,,,,,,,,,,,,,,,,
"(-11, [0, 12, 19, 24])",,,,1,,,,,,,,,,,,,,,,
"(1, [0, 10, 14, 17])",,,,,,,1,,,,,,,,,,,,,
"(2, [0, 10, 13, 18])",,,,,,,,,1,,,,,,,,,,,
"(-5, [0, 7, 16, 24])",,,,,,1,,,,,,,1,1,2,2,,,,
"(5, [0, 3, 10, 15])",,1,,,,,,,,,,,,1,,,,,,
"(-2, [0, 10, 16, 17])",,,,,1,,,,,,,,2,,2,,,,,
"(-7, [0, 10, 17, 26])",,,,,,,,,,,,,,,1,,,,,
"(3, [0, 5, 9, 15])",,,,,2,,,,,,,,,,,,,,,
"(6, [0, 2, 7, 11])",,,,,,,,,,,1,,,2,,,,,,
"(-7, [0, 7, 16, 22])",,,,,,,,,,,1,,,,,,,,,
"(0, [0, 5, 12, 19])",,,,,,,,,,,,,,,2,,,1,,
"(2, [0, 5, 12, 19])",,,,,,,,,,,,,1,,,,,,,
"(5, [0, 5, 9, 13])",,,,,,,,,,,,1,,,,,,,,
"(3, [0, 3, 12, 15])",,,,,,,,,,1,,,,,1,,,,,
"(-5, [0, 12, 19, 27])",,,,,2,,1,,,3,,,,,,,,,2,
"(-2, [0, 8, 15, 22])",,,,,,,,,,1,,,,,,,,,,
"(3, [0, 3, 6, 12])",,,,,,,,,,,,1,,,,,,,,
"(0, [0, 15, 20, 27])",,,,1,,,,,,,,,,,,,,,,
"(-2, [0, 2, 21, 22])",,,1,,,,,,,,,,,,,,,,,
"(-4, [0, 12, 16, 23])",,,,,,1,,,,,,,,,,,,,,
"(1, [0, 9, 12, 17])",3,,,,,,,,,,,,,,,,,1,,
"(0, [0, 13, 18, 25])",,,,1,,,,,,,,,,,,,,,,
"(-3, [0, 9, 15, 27])",,,,,,1,,,,,,2,,,,,,,,
"(-6, [0, 11, 19, 28])",,,,,,,1,,,,,,,,,,,,,
"(-5, [0, 13, 15, 27])",,,,,,,1,,,,,,,,,,,,,
"(-5, [0, 15, 21, 24])",,,,,,,,,,,,,,1,,,,,,
"(-3, [0, 7, 16, 23])",,,,,,2,,,,,,,,,,,,,,
"(1, [0, 7, 12, 15])",,,,,,5,2,1,,4,3,4,1,,1,2,9,1,,2
"(3, [0, 5, 12, 15])",,1,,,,4,,,,,,,,,,,,,,1
"(-7, [0, 20, 24, 27])",,,,,,1,,,,,,,,,,,,,,
"(4, [0, 4, 12])",,,,,,,,,,,,,,1,,,,,,
"(-6, [0, 10, 14, 27])",,,,,,,,,,,,,,,1,,,,,
"(1, [0, 7, 17, 26])",,,,,,,,,,,,,,,,,,1,,
"(-9, [0, 10, 17, 29])",,,,,,,,,,,,,,,,1,,,,
"(-2, [0, 5, 17, 20])",1,,,,,,,,,,,,,,,,,,,
"(4, [0, 7, 14])",,,1,,,,,2,,,,1,,,,,,,,
"(3, [0, 9, 14, 17])",,,,,,,,,2,,,,,1,,,,,,
"(-6, [0, 15, 21])",,,,,,,,,,,,,,,,1,,,,
"(-2, [0, 10, 14, 22])",,,,,,,,,,2,,,,,,,,,,
"(1, [0, 7, 16, 21])",,1,,,,,,,,1,,1,,,1,,,,1,
"(-2, [0, 6, 15, 27])",,,1,,,,,1,,,,,,,,,,,,
"(2, [0, 3, 8, 20])",2,1,,,,2,,1,,,,1,,,,,3,,,
"(9, [0, 4, 7, 9])",,,,,,,1,,,,,,,,,,,,,
"(-2, [0, 10, 13, 18])",,,,,,1,,,,,1,,,,,,,,,
"(3, [0, 7, 14, 15])",,,,,,2,,,,7,,,,,1,,,2,1,
"(1, [0, 8, 15, 17])",,,,,,,,,,,,,,,,,,,1,
"(-1, [0, 7, 16, 19])",2,,1,1,3,,,,,,,,1,1,,,,,,
"(0, [0, 1, 15, 20])",,,,,,,,,,,,,,,,,1,,,
"(-4, [0, 5, 15, 22])",,,,,,,1,,,,,,,,,1,,,,
"(-4, [0, 10, 16, 28])",,,,,1,,,,,,,,,,,,,,,
"(3, [0, 15, 19, 24])",,,,,,,,,,,,,,,,,,,1,
"(-6, [0, 7, 16])",,,,,,,,,,,,,,,,,,1,,
"(-7, [0, 15, 20, 27])",,1,,,,,,,,,,,,,,,,,,2
"(-2, [0, 5, 12, 21])",3,,,,,,,,,,,,1,,,,,1,1,
"(0, [0, 5, 15, 20])",4,,,,,,1,,,,,,,1,,,24,,1,
"(-4, [0, 7, 15, 21])",,,,,,2,,,,,,,,,,,,,,
"(6, [0, 7, 14, 16])",,,,,,,,,,,,,,,,,,,,1
"(-4, [0, 10, 16, 24])",,,,,2,2,,,,3,2,,,,,,1,,,
"(5, [0, 4, 12, 17])",,,,,,,,,,,,,,,,,,,3,
"(4, [0, 7, 12, 16])",,,1,2,,,1,,,,,,,,,,,,,
"(-4, [0, 7, 16, 26])",,,,,,,,,,2,,,,,1,,,,,
"(2, [0, 6, 8, 15])",,1,,,,,,,,,,,,,,,,,,
"(4, [0, 3, 15, 18])",,,,,,,,,,,,,,,,,,,1,
"(1, [0, 2, 11, 19])",,,,,,1,,,,,,,,,,,,,,
"(0, [0, 3, 15, 18])",,,,,1,,,,,,,,,,,,18,,,
"(-7, [0, 10, 19, 24])",,,,,,,,,,,,,,,,,,,,1
"(0, [0, 6, 13, 22])",,,,,1,,,,,,,,,,,,,,,
end,,,,,,,,,,,1,,3,2,3,7,,,,6
"(3, [0, 5, 12, 16])",,1,,,,1,,,,,,,,,,,,,,
"(-6, [0, 12, 16, 22])",,,,,,,,,,,,,1,,,,,,,
"(-3, [0, 16, 21, 24])",,1,1,,,,,,,,,,,,,,,,,
"(-14, [0, 16, 24, 29])",,,,,,,1,,,,,,,,,,,,,
"(-4, [0, 12, 17, 24])",,,,,,,,,,3,,,,,,,1,,,
"(5, [0, 3, 12, 19])",,,,2,,,,,,,,,,,,,,,,1
"(5, [0, 7, 12, 16])",,,,,,,,1,1,,,,,,,,,,,
"(-4, [0, 16, 21])",,1,,,,,,,,,,1,2,,,,,1,,
"(-1, [0, 5, 10, 17])",,,,,,2,,,,,,,,,,,,,,
"(3, [0, 7, 10, 16])",,,,,,1,,,,,,,,,,,,,,
"(-4, [0, 12, 17, 20])",,,,,,,,,,,,,,2,,,,,,
"(-7, [0, 7, 24, 27])",,,,,,,,,,,,,,1,,,,,,
"(5, [0, 4, 7, 12])",,,,1,,,1,1,,,,1,2,,,,,,,
"(-11, [0, 19, 27, 36])",,,,,,,,,,,,,,,,,,,,1
"(-3, [0, 6, 14, 21])",,,,,,,,,,,,,,2,,,,,,
"(-6, [0, 15, 19, 22])",,,,,,1,,,,,,,,1,,,,,,
"(0, [0, 5, 11, 14])",,,,,2,,,,,,,,,,,,,,,
"(-1, [0, 9, 12, 26])",,,,,,,,,,,,,,,,,,1,,
"(5, [0, 8, 12, 15])",,,,,,1,3,,,,,,1,1,,,,,,2
"(-4, [0, 10, 17, 24])",,,,,,,,,,2,,,,,,,,,,
"(-2, [0, 3, 15, 19])",,,,,,,,2,,,,,,,,1,,,,
"(-7, [0, 12, 18, 27])",,,,,,,,,,,,,,,,2,,,,
"(-5, [0, 7, 15, 27])",,,,,,,,,,,,,,,,,,,1,
